CANCEL REMARK REPORT
LORRY_REQ_NO,SOURCE_CODE,SOURCE_NAME,DESTINATION_CODE,DESTINATION_NAME,VENDOR_CODE,VENDOR_OWNER_NAME,VENDOR_TRANSPORT_NAME,VENDOR_BID,RATE_ENTER_DATE,RANK,CANCEL_REMARK,HIRING_NO,HIRING_AMOUNT,RATE_DELETE_REMARK,DELETE_FLAG_BY,DELETE_FLAG_NAME
3192514000159,319,"SANAND  AHMEDABAD-GUJARAT",2856,"MAHALUNGE TRANSSHIPMENT",64870003827,"PROGRESSIVE LOGISTICS","PROGRESSIVE LOGISTICS","12000",02-JAN-26,"L1","VENDOR BID WRONG RATE","69292515044316","25000","AS PER VENDOR BY MISTAKE BOD WRONG RATE",31928,DEEPAK 
12022514001668,1202,"VAPI-GUJARAT",1602,"KANPUR-UTTAR PRADESH",64870002270,"","Aarya logistic ","90000",02-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044890","90000","VENDOR BID AFTER VEHICLE PLACED",31928,DEEPAK 
35082514000368,3508,"DEWAS-MADHYA PRADESH",1601,"HYDERABAD-TELANGANA",64870003406,"DN Logistics","DN Logistics","50000",01-JAN-26,"L1","VEHICLE NOT AVAILABLE","69292515044714","55000","AS PER VENDOR BY MISTAKE BID WRONG RATE",31928,DEEPAK 
21172514001951,2117,"MUMBAI HUB-MAHARASTRA",2856,"MAHALUNGE TRANSSHIPMENT",64870003827,"PROGRESSIVE LOGISTICS","PROGRESSIVE LOGISTICS","11500",02-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044336","12000","VENDOR BID NEXT DAY AFTER VEHICLE PLACED SAME THID VENDOR DEMAND 12500",31928,DEEPAK 
14092514000210,1409,"BAROTA SONIPAT HARYANA",1393,"KHARKHODA  SONIPAT",64870004585,"","YOGESH","5000",02-JAN-26,"L1","VENDOR BID FOR SINGLE POINT","69292515044510","5500"," VENDOR BID NEXT DAY AFTER VEHICLE PLACED ALSO BID FOR 20 FT BUT REQ 22 FT",31928,DEEPAK 
6012514001097,601,"BARODA-GUJARAT",2855,"MAHALUNGE NEW WH DELIVERY",64870001827,"","nagpur Aurangabad roadlines","17000",05-JAN-26,"L1","VENDOR BID WRONG RATE","69292515044684","35000","AS PER VENDOR BY MISTAKE BID WRONG RATE",31928,DEEPAK 
9012514000951,901,"COIMBATORE-TAMILNADU",2841,"PARAGON",64870002270,"","Aarya logistic ","32000",02-JAN-26,"L1","VEHICLE PLACED BY BRANCH","69292515044611","34000","VENDOR BID AFTER 1.5 HR OF VEHICLE PLACED",31928,DEEPAK 
9012514000951,901,"COIMBATORE-TAMILNADU",2841,"PARAGON",64870003066,"","Chandigarh Bhiwani Roadways","32000",02-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044611","34000","VENDOR BID AFTERT 1.5 HR LATER OF VEHICLE PLACED",31928,DEEPAK 
13102514000674,1311,"NOIDA II-UTTAR PRADESH",1801,"LUCKNOW-UTTAR PRADESH",64870000927,"sanjay yadav","FREIGHT COMMERCE SOLUTIONS PRIVATE LIMITED","31000",02-JAN-26,"L1","VEHICLE NOT REACHED ON LOADING POINT","69292515044663","32500","AS PER VENDOR VEHICLE NOT REACHED ON LOADING POINT DUE TO SOME ISSUE",31928,DEEPAK 
13282514001415,1328,"BINOLA HUB-HARYANA",511,"BANGLORE HUB-KARNATAKA",64870001827,"","nagpur Aurangabad roadlines","17000",02-JAN-26,"L1","VENDOR BID WRONG RATE","69292515044416","100000","AS PER VENDOR BY MISTAKE BID WRONGF RATE",31928,DEEPAK 
61202514002467,3501,"INDORE-MADHYA PRADESH",4002,"PATNA - BIHAR",25010000003,"VIRENDER SINGH","DELHI HARYANA ROADWAYS","0",02-JAN-26,"L1","VENDOR BID WRONG RATE","69292515044536","33000","AS PERVENDOR BID WRONG RATE",31928,DEEPAK 
13582514000180,1358,"KARNAL-HARYANA",1338,"HODAL HUB HARYANA",64870004195,"","TRANS CARGO LOGISTICS ","9000",02-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515049414","12500","VEHICLE ALREADY PLACED AS DISS WITH STAFF HE HAS RETURN VEHICLE OTHER RATE   13000-14000",31928,DEEPAK 
21172514001963,2117,"MUMBAI HUB-MAHARASTRA",1607,"ZAHEERABAD-TELANGANA",13900000972,"VIKASH SHARMA ATTRI","SOUTH CARGO ROADLINE","29500",02-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515044422","29500","VENDOR BID AFTER VEHICLE PLACED",31928,DEEPAK 
21172514001966,2117,"MUMBAI HUB-MAHARASTRA",3508,"DEWAS-MADHYA PRADESH",35010000128,"SHREE DHAN ROADLINES","SHREE DHAN ROADLINES","29000",02-JAN-26,"L1","VEHICLE NOT AVAILABLE","69292515044585","33500","ASPER VENDOR BY MISTAKE BID WRONG RATE ",31928,DEEPAK 
21362514000084,2136,"AMAZON MUMBAI",2816,"HINJEWADI - MAHARASTRA",64870003827,"PROGRESSIVE LOGISTICS","PROGRESSIVE LOGISTICS","25500",02-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044688","27000","AS PER VENDOR THAT TIME VEHICLE NOT AVILABLE BID AFTER 1.30 HR OF VEHICL PLACED",31928,DEEPAK 
28562514000912,2856,"MAHALUNGE TRANSSHIPMENT",1501,"GOA",64870003754,"","SHIV LOGISTICS ","16000",02-JAN-26,"L1","VENDOR BID WRONG RATE","69292515044432","25000","AS PER VENDOR BID WRONG RATE",31928,DEEPAK 
13282514001416,1328,"BINOLA HUB-HARYANA",1352,"DADRI-UTTAR PRADESH",64870002271,"ROAD KING TRANSPORT AND CONTRACTOR","ROAD KING TRANSPORT AND CONTRACTOR","12500",02-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515044424","12500","VENDOR BID AFTER VEHICLE PLACED",31928,DEEPAK 
3012514000910,301,"AHMEDABAD-GUJARAT",1601,"HYDERABAD-TELANGANA",13900000972,"VIKASH SHARMA ATTRI","SOUTH CARGO ROADLINE","1",03-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045117","62500","VENDOR MODIFY RATE 1 FROM 52000 AND STAFF CALL BUT NOT RESPONES BY VENDOR",31928,DEEPAK 
13932514001071,1393,"KHARKHODA  SONIPAT",1601,"HYDERABAD-TELANGANA",64870000133,"Can Pack Logistics","Can Pack Logistics","75000",03-JAN-26,"L1","OTHER","69292515044819","78000","AS PER VEDNDOR BY MISATEK BID WRONG RATE FOR SXL BUT REQ MXL VEHICLE",31928,DEEPAK 
21042514000526,2117,"MUMBAI HUB-MAHARASTRA",511,"BANGLORE HUB-KARNATAKA",64870000927,"sanjay yadav","FREIGHT COMMERCE SOLUTIONS PRIVATE LIMITED","56500",05-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044610","57000","VENDOR BID AFTER 2 DAY OF VEHICLE PLACED",31928,DEEPAK 
60622514000443,6062,"RAJPURA-AIRTEL GSM",6033,"JAMMU AIRTEL GSM-JAMMU KASHMIR",64870000772,"","Krishna Road lines","14000",03-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515045263","14000","VENDOR BID AFTER VEHICLE PLACED",31928,DEEPAK 
21172514001974,2117,"MUMBAI HUB-MAHARASTRA",511,"BANGLORE HUB-KARNATAKA",64870000686,"","V N Logistics ","48000",03-JAN-26,"L1","VENDOR BID WRONG RATE","69292515044711","56000","AS PER VENDOR BID WRONG RATE 24 FT VEHICLE BU REQ  32 SXL VEHICLE",31928,DEEPAK 
22052514000589,2205,"HARIDWAR-UTTRAKHAND",1721,"KESHWANA RAJASTHAN",64870002610,"SK TRANSPORT COMPANY","SK TRANSPORT COMPANY","12500",03-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045032","13000","VEHICLE PLACED OF FIX RATE VENDORN",31928,DEEPAK 
21042514000529,2104,"VASAI MUMBAI-MAHARASTRA",1202,"VAPI-GUJARAT",64870004486,"","shree bajarang roadlines","8000",03-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044672","9000","VENDOR BID AFTER 40 MINT OF VEHICLE PLACED",31928,DEEPAK 
13102514000681,1310,"NOIDA I-UTTAR PRADESH",1709,"JODHPUR-RAJASTHAN",64870001956,"ACM LOGISTICS","ACM LOGISTICS","29900",05-JAN-26,"L1","VENDOR BID WRONG RATE","69292515044784","47000","AS PER VENDOR BY MISTAKE BID WRONG RATE",31928,DEEPAK 
13332514000532,1333,"HISSAR-HARYANA",1393,"KHARKHODA  SONIPAT",64870004448,"","Hindustan road lines","12",05-JAN-26,"L1","VENDOR BID WRONG RATE","69292515044775","14000","AS PER VENDOR BY MISTAKE BID WRONGF RATE DEMAND 14000",31928,DEEPAK 
13102514000681,1310,"NOIDA I-UTTAR PRADESH",1709,"JODHPUR-RAJASTHAN",64870003281,"","shree ram container service","30000",05-JAN-26,"L2","VEHICLE NOT AVAILABLE","69292515044784","47000","AS PER VENDOR BY MISTAKE BID WRONG RATE VEHILC NOT AVAILABLE",31928,DEEPAK 
12022514001687,1203,"SILVASSA-GUJARAT",2203,"MEERUT-UTTAR PRADESH",64870001831,"NAVEEN SHARMA","Aadhunik Transport corporation","75000",07-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045224","80000","VENDOR BID AFTER TWO DAY OF VEHICLE PLACED",31928,DEEPAK 
12022514001693,402,"SURAT-GUJARAT",509,"DODDABALLAPUR-KARNATAKA",64870003705,"","DIGITAL INDIA LOGISTICS ","91000",08-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045442","92000","VENDOR BID AFTER 3 DAY OF VEHICLE PLACED",31928,DEEPAK 
13062514001868,1310,"NOIDA I-UTTAR PRADESH",511,"BANGLORE HUB-KARNATAKA",13900000972,"VIKASH SHARMA ATTRI","SOUTH CARGO ROADLINE","87000",06-JAN-26,"L1","VENDOR BID FOR SINGLE POINT","69292515045019","88000","AS VENDOR BID FOR SINGLE POINT BUT REQ TWO PINT",31928,DEEPAK 
13182514000285,1318,"GURGAON-HARYANA",516,"SHIMOGA-KARNATAKA",64870002479,"A J LOGISTICS","A J LOGISTICS","58000",06-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515045082","60000","VENDOR BID 1.5HR  LATER OF VEHICLE PLACED",31928,DEEPAK 
60622514000446,6062,"RAJPURA-AIRTEL GSM",6028,"BILASPUR AIRTEL SIM",64870000839,"","Delhi jaipur road lines","6500",06-JAN-26,"L1","VENDOR BID WRONG RATE","69292515045011","11000","AS PER VENDOR BY MISTAKE BID WRONG RATE",31928,DEEPAK 
13512514000376,1351,"BAHADURGARH-HARYANA",3011,"CALICUT-KERLA",64870001163,"RoadExpress Technology PVT. LTD.","RoadExpress Technology PVT. LTD.","107000",05-JAN-26,"L1","VEHICLE NOT REACHED ON LOADING POINT","69292515045035","107500","AS PER VENDOR VEHICLE ON  UNLOADINGPOINT ",31928,DEEPAK 
21042514000531,2105,"BHIWANDI-MAHARASTRA",1609,"VIJAYWADA",64870003827,"PROGRESSIVE LOGISTICS","PROGRESSIVE LOGISTICS","74800",06-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044888","75000","VENDOR BIS NEXT DAY AFTER VEHICLW PLACED",31928,DEEPAK 
21042514000532,2105,"BHIWANDI-MAHARASTRA",1609,"VIJAYWADA",64870003827,"PROGRESSIVE LOGISTICS","PROGRESSIVE LOGISTICS","75000",06-JAN-26,"L1","VEHICLE PLACED SAME RATE","69292515044938","75000","VENDOR BID AFTER VEHICLE PLACED SAME TOME REQ NOT SHOWING ON ANGULAR IT ISSUE",31928,DEEPAK 
21252514000480,2125,"RASYANI-RAIGAD",1607,"ZAHEERABAD-TELANGANA",64870003827,"PROGRESSIVE LOGISTICS","PROGRESSIVE LOGISTICS","45000",06-JAN-26,"L1","VENDOR BID AFTER VEHICLE PLACED","69292515044898","45000","VENDOR BID NEXT DAY AFTER VEHUCLE PLADED DUE TO A SAME DAY REQ NOT AHOWING IN ANGULAR",31928,DEEPAK 
