CHALLANGE PRICE REPORT
REQ_ENTER_DATE,RATE_ENTER_DATE,REQUEST_NO,SOURCE_BRANCH,SOURCE_BRANCH_NAME,DESTINATION_BRANCH,DESTINATION_BRANCH_NAME,VENDOR_CODE,VENDOR_OWNER_NAME,VENDOR_TRANSPORT_NAME,VENDOR_BID,CHALLENGE_PRICE,CHALLENGE_FLAG,HIRING_NO,HIRING_AMOUNT,HIRED_VENDOR_CODE,HIRED_VENDOR_OWNER_NAME,HIRED_VENDOR_TRANSPORT_NAME
01-JAN-26,01-JAN-26,17122514000117,1712,KHUSKERA-RAJASTHAN,1360,NARELA-DELHI,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,11000,10000,Accept,69292515044289,10000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
01-JAN-26,03-JAN-26,13292514000055,1329,NAGLI POONA-DELHI,4001,DEHRADUN-UTTRAKHAND,64870000839,,Delhi jaipur road lines,14500,14000,Accept,69292515044491,14000,64870000839,,Delhi jaipur road lines
01-JAN-26,01-JAN-26,13932514001057,1393,KHARKHODA  SONIPAT,3501,INDORE-MADHYA PRADESH,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER,33000,32000,Accept,69292515044309,32000,13900001039,S.K. FREIGHT CARRIER,S.K. FREIGHT CARRIER
01-JAN-26,01-JAN-26,13282514001407,1328,BINOLA HUB-HARYANA,2501,NAGPUR,64870000133,Can Pack Logistics,Can Pack Logistics,49000,47000,Accept,69292515044181,47000,64870000133,Can Pack Logistics,Can Pack Logistics
01-JAN-26,01-JAN-26,13932514001054,1393,KHARKHODA  SONIPAT,1601,HYDERABAD-TELANGANA,64870000133,Can Pack Logistics,Can Pack Logistics,75000,70000,Accept,69292515044241,70000,64870000133,Can Pack Logistics,Can Pack Logistics
01-JAN-26,01-JAN-26,13382514001021,1338,HODAL HUB HARYANA,2605,PITHAMPUR-DELIVERY,64870000133,Can Pack Logistics,Can Pack Logistics,37000,34000,Accept,69292515044239,34000,64870000133,Can Pack Logistics,Can Pack Logistics
01-JAN-26,01-JAN-26,13282514001403,1328,BINOLA HUB-HARYANA,2501,NAGPUR,64870000133,Can Pack Logistics,Can Pack Logistics,50000,47000,Accept,69292515044232,47000,64870000133,Can Pack Logistics,Can Pack Logistics
01-JAN-26,01-JAN-26,13382514001022,1338,HODAL HUB HARYANA,3502,BHOPAL-MADHYA PRADESH,13900000155,ANADI SHANKAR SHARMA,SHREE SHYAM CARGO CARRIER,38000,36500,Accept,69292515044318,36500,13900000155,ANADI SHANKAR SHARMA,SHREE SHYAM CARGO CARRIER
01-JAN-26,01-JAN-26,13932514001056,1393,KHARKHODA  SONIPAT,2855,MAHALUNGE NEW WH DELIVERY,13900000724,BALAJI,SHREE BALAJI ROAD CARRIERS,48000,47500,Accept,69292515044222,47500,13900000724,BALAJI,SHREE BALAJI ROAD CARRIERS
01-JAN-26,01-JAN-26,35082514000366,3508,DEWAS-MADHYA PRADESH,850,MALDA WB,35010000128,SHREE DHAN ROADLINES,SHREE DHAN ROADLINES,95000,94000,Accept,69292515044307,94000,35010000128,SHREE DHAN ROADLINES,SHREE DHAN ROADLINES
